S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
19,SIA/MP/MIN/565223/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/245670/2025",Mahoba Gitti Stone Mine_Part-1_5843,MADHYA PRADESH,RAJAY MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 19/01/2026,SEIAA,Under Verification,"Mahoba Gitti Stone Mine_Part-1_5843 is situated Khasra Number- 589 (P) near Village Mahoba, Tehsil, Gaurihar, District Chhatarpur, State Madhya Pradesh over an area of 4.0 Ha. The concerned Mining Project is proposed by applicant M/S Rajey Minerals. The project proponent is intended to the Max production 2, 00,000 M3/Annum. (Within 5 years). The estimated project cost is Rs. 1.2 Crores."
20,SIA/MP/MIN/563698/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270726/2025",SALAIYA FERAN SINGH FLAGSTONE QUARRY,MADHYA PRADESH,AJAY PRATAP GAUTAM,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Verification,"FLAGSTONE QUARRY VILLAGE - SALAIYA FERAN SINGH TEHSIL – SHAHNAGAR DIST. – PANNA(M.P.) KHASRA NO.- 61, TOTAL AREA – 2.00 HECT. PRODUCTION-2100 m3/Year Applicant SHRI AJAY PRATAP GAUTAM S/O,SHRI RAM NIWAS GAUTAM RESI.KHARRA, DIST-PANNA"
21,SIA/MP/MIN/564239/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271070/2026",Pipalyakalan Murrum Stone (Gitti & M Sand) Quarry,MADHYA PRADESH,RAJPAL RATHORE,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,Standard ToR Granted,"It is a expansion project of Murrum, Stone(Gitti & M-Sand) Quarry with a previous production capacity of 7,000 m3/year Murrum to expanded production capacity of 7,000 m3/ Year Stone (Gitti), 11,000 m3/year M-Sand &, 7,000 m3/Year Murrum having a lease area of 2.00 hectare, at Khasra No. 338 (Govt. land) Village - Pipalyakalan, Tehsil-Agar District- Agar Malwa (M.P.)"
22,SIA/MP/MIN/563011/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270133/2025",Amehta Limestone Mine (M.L. Area 2.75 ha.),MADHYA PRADESH,Ravi grover,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Standard ToR Granted,The lessee Shri Ravi Kumar Grover was granted mining lease for 20 years period w.e.f. 08/08/2003 to 07/08/2023. The lease area has been extended for 50 years in accordance with MM (D & R) Amendment Act 2015 over 2.75 ha up to 07/08/2053.
23,SIA/MP/MIN/565010/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271870/2026",Malkhanpura Gitti & Boulder Quarry,MADHYA PRADESH,puneet sharma,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,Standard ToR Granted,"This is a Malkhanpura Gitti & Boulder & Quarry. It comes under the B1 category. We are using an open-cast semi-mechanised mining method with an annual production of 18,000 Cub meters/Year (Gitti -7,000 Cub Meter/Year & Boulder 11,000 Cub Meter/Year), Khasra no - 124, Area -1.25 Ha, Village- Malkhanpura, Tehsil – Morena(Banmore), District - Morena (M.P.)"
24,SIA/MP/MIN/567797/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274374/2026",SALKANPUR STONE QUARRY FOR GITTI & M - SAND,MADHYA PRADESH,rajpal singh panwar,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,EDS raised,Stone (Gitti) used for construction work and various other civil projects works.
25,SIA/MP/MIN/565817/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272532/2026",Ramanna Stone Quarry,MADHYA PRADESH,pitambara mining,Category: B1 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EDS raised,"The Proposed Rammna Site covers an Area of 2.000 hectares at Village-Ramnna, Tehsil- Deori, District- Sagar, M.P. This Case belongs to the B1 category due to the proposed excavation area being a Cluster of Mines in this 500 m radius."
26,SIA/MP/RIV/566181/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/234595/2025",Bahoriband Micro Lift Irrigation Project,MADHYA PRADESH,GENDRAJ SINGH,Category: B1 Sector: River Valley and Hydroelectric Projects Date of Submission: 23/01/2026,SEIAA,Under Verification,"To provide the micro lift irrigation facilities for the area GCA 74689 Ha. and its Net CCA is 46716 Ha. of Bahoriband micro lift irrigation project. The villages which will be benefited are 183 Nos. of Tehsil Bahoriband, Sleemanabad, Rithi & Katni District Katni. The purpose of Bahoriband Micro Lift Irrigation is increased to production of crops and irrigation area."
27,SIA/MP/INFRA1/555862/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/262888/2025","Smart Industrial Township Ratlam"" in Proposed Investment Region Development & Management Scheme at: District & Tehsil: Ratlam, Madhya Pradesh by MP Industrial Development Corporation Ltd.",MADHYA PRADESH,MP Industrial Development Corportion Ltd.,Category: B1 Sector: INFRA-1 Date of Submission: 02/01/2026,SEIAA,Standard ToR Granted,"MPIDC Ltd, RO Indore, a publicly traded company and a subsidiary of MP State Industrial Development Corporation (MPSIDC) in Bhopal, was established with the primary goal of fostering the growth of Industrial Growth Centers in the Indore Region. In pursuit of this objective, MPIDC, RO Indore has undertaken the development of Ratlam Investment Region under the ""Investment Region Development and Management Scheme."" The project's overarching mission is to create a globally competitive Industrial Tow"
28,SIA/MP/MIN/567836/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274419/2026","Birampura Murram, Stone and M-Sand Quarry(13 peki-103000)",MADHYA PRADESH,B S MINES AND MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,EDS raised,"The Environmental Clearance is required for mining project for a targeted production capacity 28000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum."
29,SIA/MP/MIN/564781/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271675/2026",Nanded Stone Quarry,MADHYA PRADESH,naveen kumar jain,Category: B1 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,
30,SIA/MP/MIN/563122/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270237/2025",MELPIPALYA-2 SAND QUARRY,MADHYA PRADESH,GIRISH KHANDWEKAR,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"The Madhya Pradesh State Mining Corporation Limited proposes for sand excavation from a quarry lease area measuring 3.500 hectares, located in Khasra No. 105, Melpipalya Village, Khategaon Tehsil, Dewas District, Madhya Pradesh. The mining activity will be carried out using an open-cast manual method. The entire lease area lies on government land (river bed area) Narmada River. The proposed annual sand excavation quantity is 63,000 Cum/ Year"
31,SIA/MP/MIN/564335/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271309/2026",Kanakhedi Eklaspur Stone(Gitti & M Sand) Quarry,MADHYA PRADESH,balwant singh,Category: B1 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,Standard ToR Granted,"It is a Stone Quarry with a production Capacity of 10,000 m3/ Year Stone (Gitti), 10,000 m3/Year M-Sand having an Area of 2.0 Hectare at Khasra No. - 165 (Govt. Land) Village- Kanakhedi Eklaspur, Tehsil- Mahidpur, District- Ujjain (M.P.)."
32,SIA/MP/MIN/567333/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273881/2026",Mahuakheda Stone (Gitti) & M-Sand Quarry,MADHYA PRADESH,Lalita Raghuwanshi,Category: B1 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Standard ToR Granted,"This is a Stone (Gitti) & M-Sand quarry. Its Comes Under B1 Category. We are using open cast semi mechanized mining method of production, and its annual production is 31,000 M3/Year (Stone – 11,000 & M-Sand -20,000) Cub meter, KHASRA-01, & Area-3.0 Hec. Village- Mahuakheda, Tehsil- Ashoknagar, District -Ashoknagar (M.P)."
33,SIA/MP/MIN/560547/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267866/2025","Bisentha Flag Stone & Boulder, M-Sand, Dimension Stone Quarry",MADHYA PRADESH,geo shining enterprises,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,DELISTED BY SYSTEM (at : 02/02/2026),"This is a flagstone, Boulder & M-Sand, Dimension Stone quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method with an annual production is 40,000 Cub meters/Year(FlagStone-3000 Cub Meter/Year, Boulder 10000 Cub Meter/Year & M-Sand-20000 Cub Meter/Year, Dimension Stone-7000 Cub Meter/Year ), Khasra no - 1228, Area - 4.00 Ha, Village- Bisentha, Tehsil – Morena(Banmore), District - Morena(M.P.)"
34,SIA/MP/MIN/567935/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274508/2026",Najarpur Stone (Gitti) Quarry,MADHYA PRADESH,iqbal khan,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,EDS raised,"It is a Stone Quarry with a production capacity of 5,700 m3/year Gitti having a lease area of 1.00 hectare, at Khasra No. 1210/1 (Govt. land) Village -Najarpur, Tehsil- Ghatiya, District-Ujjain (M.P.)"
35,SIA/MP/INFRA2/565502/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272167/2026","Development of Ujjain (Datana) Airport, Datana, Ujjain, Madhya Pradesh 456664",MADHYA PRADESH,airports authority of india,Category: B1 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,EDS raised,"The project is development of Ujjain (Datana) airport, which includes, reconfiguration and extension of existing Runway 13/31, from 1077m × 23m to 1800m X 45m with strength for Q 400 type of aircraft; construction of Apron of dimension of 149.5 m x 120.5 m (approx.) for parking of 3 nos. of Code-C (Q400) along with 1-no. link taxi track of 164.5 m x 23 m with 3.5m wide shoulders, required fillets & associated GSE., construction of Isolation Bay of dimension of 56.8 m x 88.5 m (approx.) with requ"
36,SIA/MP/MIN/558257/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242737/2025","RAJEEV KUMAR JAIN, PRATAPPURA STONE MINE - 0.8 HA",MADHYA PRADESH,RAJEEV JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Under Verification,"Pratappura Stone Quarry mine is located at Khasra No.-72/2 P, Village –Pratappura, Tehsil Orchha, Distt. Niwari (M.P.). The lease has been sanctioned in F/o Rajeev Kumar Jain. The total lease area of the mine is 0.80 ha. DEIAA has granted EC in vide letter no. 180 dated 10.04.2018 in favor of Rajeev Kumar Jain. The capacity of quarry is for mining of Stone – 15043 cum /year,ITS A OPERATING MINE WITH EC FROM DEIAA AND CTO FROM MPPCB APPLYING FOR REAPPRAISAL TO SEIAA FOR EC. WE HAVE PREPARED THE E"
37,SIA/MP/MIN/563631/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/136458/2023",DIDWARA STONE MINE,MADHYA PRADESH,NEW BALAJI STONE MILL,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"area-2.0ha, khasra no- 1361/1/2, at Village -Didwara, Tehsil-Lavkush Nagar, Distt.-Chhatarpur, Madhya Pradesh."
38,IA/MP/MIN/565780/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272454/2026","Proposed Naubasta-Kolard Part-A (Padriya_Rajarwara_Khamhariya Kala) Limestone Block (Area: 569.286 Ha) with Limestone Production Capacity: 1.00 Million TPA, Top Soil: 0.01 Million TPA and Waste: 0.42 Million TPA (Total Excavation: 1.43 Million TPA) along with installation of 1400 TPH Capacity of Crusher located at Villages: Padariya, Rajarwara, Khamhariya Kala, Chhinda, Patna, Damha, Kolard & Naubasta, Taluka: Nagod, District: Satna, State: Madhya Pradesh of Dalmia Cement (Bharat) Ltd.",MADHYA PRADESH,DALMIA CEMENT (BHARAT) LIMITED,Category: A Sector: Non-Coal Mining Date of Submission: 22/01/2026,MOEFCC,Under Examination,"Dalmia Cement (Bharat) Limited has proposed Naubasta-Kolard Part-A (Padriya_Rajawara_Khamhariya Kala) Limestone Block (Area: 569.286 Ha) with Limestone Production Capacity: 1.00 Million TPA, Top Soil: 0.01 Million TPA and Waste: 0.42 Million TPA (Total Excavation: 1.43 Million TPA) along with installation of 1400 TPH Capacity of Crusher located at Villages: Padariya, Rajarwara, Khamhariya Kala, Chhinda, Patna, Damha, Kolard & Naubasta, Taluka: Nagod, District: Satna, State: Madhya Pradesh. DCBL "
39,IA/MP/INFRA2/561689/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/234170/2025",Samdariya Avenue Residential/Commercial Complex Jabalpur,MADHYA PRADESH,SAMDARIYA BUILDERS (INDIA) PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 07/01/2026,MOEFCC,Proposal pulled back (withdrawn),Residential/Commercial Complex
40,SIA/MP/MIN/564565/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271502/2026,KATA MAL-1 SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,DELISTED BY SYSTEM (at : 08/02/2026),"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Kata Mal Sand Quarry located in Village- Kata Mal, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i) of"
41,SIA/MP/MIN/541147/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/250569/2025",Ujjainiya Murram Quarry,MADHYA PRADESH,kelash bai,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Under Verification,"It is a Murrum Quarry with a production capacity of 10,000 m3/year murrum having a lease area of 2.00 hectare, at Khasra No. 1381/1 (Govt Land) Village - Ujjainiya, Tehsil-Ghatiyai, District-Ujjain (M.P.)."
42,SIA/MP/MIN/565385/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272183/2026,Devkuliya Gitti Stone mine,MADHYA PRADESH,GANGELE ENTERPRISES LLP,Category: B2 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,Referred to SEAC,"Devkuliya Gitti Stone mine of 2.00 Hectare Area, Khasra No. 270 in Village – Devkuliya, Tehsil – Rajnagar, District- Chhatarpur (M.P.) (Maximum Production – 17,140 Cubic Meter/ Year)"
