ID,Priority_Tier,Final_Score,High_Urgency_Flag,Lead_Score,Enhanced_Score,Intent_Signal,Freshness_Score,Size_Score,Proximity_Score,State,Proposal No.,Project Name,Project Proponent,Location,Sector,Category,Proposal Status,Recommended_Products,Submission_Year,Other Details,Project_Description,Officer_Name,Officer_Phone,Officer_Email,Officer_Address,Officer_Role,Officer_Distance_KM
11,Tier 1 - Immediate,79.6,True,88,76.0,0.6,0.9333333333333332,0.7,1.0,West Bengal,IA/WB/THE/564520/2026,"Amendment in Environment Clearance w.r.t. Thermal Power Plant located at JL – 94, Mouza – Kismatsibrampur, JL No. – 170, Mouza – Tentulberia, JL No. – 147, Mouza – Sovarampur, JL No. 146, Mouza – Kashbere, PS – Bhabanipur, Haldia, East Medinipur, West Bengal by M/s Hiranmaye Energy Limited for review of SO2 emission standards and exemption from installation of Flue Gas Desulfurization (FGD) as per MoEF&CC, New Delhi’s Notification dated 11.07.2025",HIRANMAYE ENERGY LIMITED,WEST BENGAL,Thermal,A,Under Examination,"Furnace Oil, Diesel, Specialty Fuels",2026,Category: A Sector: Thermal Projects Date of Submission: 06/02/2026,"We are submitting application for EC Amendment for review of SO2 Emission standards and exemption from installation of FGD as per MoEF&CC, New Delhi's notification dated 11.07.2025.",Regional Manager - Kolkata,+91-9547535867,kolkata.retrm@hpcl.in,"2ND FLOOR, No-6, Church Lane, Bbd Bag, Kolkata-700001, West Bengal",Regional Manager,0.0
12,Tier 1 - Immediate,79.6,True,95,73.0,0.7,0.8666666666666667,0.6,0.7,Madhya Pradesh,SIA/MP/MIN/566615/2026,"Suvakheda & Kheda Rathore Limestone Mine (ML Area - 221.043 Ha) with Expansion in Limestone Production Capacity from 0.5 million TPA to 3.0 million TPA (ROM) at Villages - Suvakheda and Kheda Rathore, Tehsil - Jawad, District - Neemuch, Madhya Pradesh",veer durga das minerals private limited,MADHYA PRADESH,Non-Coal,B1,Under Verification,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"M/s. Veer Durgadas Minerals Pvt. Ltd. is proposing Expansion in Limestone Production Capacity from 0.5 million TPA to 3.0 million TPA (ROM) in Suvakheda & Kheda Rathore Limestone Mine (ML Area - 221.043 Ha) at Villages - Suvakheda and Kheda Rathore, Tehsil - Jawad, District - Neemuch, Madhya Pradesh.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
13,Tier 1 - Immediate,79.1,True,91,74.0,0.7,0.9666666666666668,0.4,0.9,Maharashtra,IA/MH/IND3/568095/2026,"Expansion Project for the Manufacturing of API and API Intermediate capacity from 108 TPA to 2400 TPA by M/S. NGL Fine Chem Limited, located at Plot No. W-41/C, W-42/C & E-10/1, MIDC Tarapur, Taluka & District Palghar, Maharashtra, India – 401506",NGL FINE CHEM LIMITED,MAHARASHTRA,Industrial,A,Under Examination,"Furnace Oil, Diesel, Lubricants",2026,Category: A Sector: Industrial Projects - 3 Date of Submission: 07/02/2026,"Expansion Project for the Manufacturing of API and API Intermediate capacity from 108 TPA to 2400 TPA by M/S. NGL Fine Chem Limited, located at Plot No. W-41/C, W-42/C & E-10/1, MIDC Tarapur, Taluka & District Palghar, Maharashtra, India – 401506",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
14,Tier 1 - Immediate,78.4,True,91,73.0,0.75,0.9333333333333332,0.4,0.7,Madhya Pradesh,IA/MP/IND1/544953/2026,"Establishment of Clinkerization and Cement Manufacturing Plant along with associated facilities at Villages Jamuna and Tapa, Tehsil Rampur Baghelan, District Satna Madhya Pradesh by Dalmia Cement (Bharat) Ltd.",DALMIA CEMENT (BHARAT) LIMITED,MADHYA PRADESH,Industrial,A,Under Examination,"Furnace Oil, Diesel, Lubricants",2026,Category: A Sector: Industrial Projects - 1 Date of Submission: 06/02/2026,"Dalmia Cement (Bharat) Ltd. (DCBL) proposes to establish Greenfield Integrated Cement Project: Clinker - 8.0 Million TPA (2 x 4.0 Million TPA), Cement - 6.0 Million TPA (2 x 3 Million TPA), WHRS - 40 MW (2 x 20 MW), DG Sets Capacity- 3000 KVA (4 X 750 or 3 X1000 KVA), Oxygen Plant 160 m3/hr (2 X 80 m3/hr) capacity AFR Pre-Processing/Co-processing facility and Railway siding with wagon tippler and other associated facilities at Villages Jamuna and Tapa, Tehsil Rampur Baghelan, District Satna, Mad",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
15,Tier 1 - Immediate,78.3,True,93,72.0,0.7,0.8666666666666667,0.4,1.0,Madhya Pradesh,SIA/MP/MIN/567696/2026,Rangwasa Stone (Gitti & M-Sand) Quarry,GHANSHYAM,MADHYA PRADESH,Non-Coal,B1,Under Examination,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,"This is an Expansion and DEIAA case. Rangwasa Stone (Gitti & M-Sand) Quarry is situated at Village: Rangwasa, Tehsil: Depalpur, District: Indore and State: Madhya Pradesh over an area of 3.10 Ha.",Retail Regional Manager - Bhopal,0755-4274021,bhop.retrm@hpcl.in,"Gautam Nagar P.O. Govindpura, Bhopal, Madhya Pradesh - 462023",Retail Regional Manager,0.0
16,Tier 2 - High Priority,78.0,True,85,75.0,0.6,0.9,0.7,1.0,Maharashtra,IA/MH/THE/564470/2026,"Amendment in Environmental Clearance for seeking review of applicability of Sulphur dioxide standards and Exemption from Installation of FGD as per MoEF&CC Notification dated 11.07.2025 for 2×300 MW DIL Thermal Power Plant at Plot No-C6,C7,C8 Tadali Growth Centre, MIDC Tadali, Tal & Dist.-Chandrapur, Maharashtra",DHARIWAL INFRASTRUCTURE LIMITED,MAHARASHTRA,Thermal,A,Proposal Accepted and Referred to EAC,"Furnace Oil, Diesel, Specialty Fuels",2026,Category: A Sector: Thermal Projects Date of Submission: 05/02/2026,Dhariwal Infrastructure Limited has proposed amendment in Environmental clearance dated 04.12.2009 (modified vide letter 09.09.2010) for seeking review of applicability of Sulphur dioxide standards and Exemption from Installation of FGD as per MoEF&CC Notification dated 11.07.2025,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
17,Tier 2 - High Priority,78.0,True,85,75.0,0.6,0.9,0.7,1.0,West Bengal,IA/WB/THE/564657/2026,"Amendment in Environmental Clearance for Seeking review of applicability of Sulphur dioxide standards and exemption from installation of FGD as per MoEF&CC notification dated 11.07.2025 for 2×300 MW Coal Based Thermal Power Plant at Baneshwarchak, Haldia, District- Purba Medinipur, West Bengal.",HALDIA ENERGY LIMITED,WEST BENGAL,Thermal,A,Proposal Accepted and Referred to EAC,"Furnace Oil, Diesel, Specialty Fuels",2026,Category: A Sector: Thermal Projects Date of Submission: 05/02/2026,Haldia Energy Limited has proposed amendment in Environmental clearance dated 01.10.2008 (name change in EC vide letter 18.01.2010) w.r.t condition no 3(vi) requesting exemption from installation of FGD pursuant to MoEF&CC Gazette G.S.R. 465(E) dated 11.07.2025.,Regional Manager - Kolkata,+91-9547535867,kolkata.retrm@hpcl.in,"2ND FLOOR, No-6, Church Lane, Bbd Bag, Kolkata-700001, West Bengal",Regional Manager,0.0
18,Tier 1 - Immediate,77.3,True,92,71.0,0.7,0.7,0.6,1.0,Maharashtra,SIA/MH/INFRA2/563330/2026,"Environmental clearance “Marathon Nexzone” New Rental Housing Project for MMRDA with Sale building at land bearing S.NO. 5/1/D/1, 5/1/D/2, 6/1/2/1, 6/1/2/2, 6/1/2/3, 6/2/2, 6/3/2/1, 6/3/2/2, 6/4, 7/1, 7/2, 8/1, 8/2/1, 8/2/2, 9/6/2/1, 9/6/2/2 AT VILLAGE KOLKHE PETH, TAL. PANVEL, DIST- RAIGAD. M/s. Sanvo Resorts Private Limited.",MS SANVO RESORTS PRIVATE LIMITED,MAHARASHTRA,INFRA-2,B1,Under Verification,"Diesel, Bitumen, Lubricants, Generator Fuel",2026,Category: B1 Sector: INFRA-2 Date of Submission: 30/01/2026,The proposed project is expansion of Rental Housing Project for MMRDA with Sale building,Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
19,Tier 1 - Immediate,76.9,True,93,70.0,0.7,0.8,0.4,1.0,Uttar Pradesh,SIA/UP/MIN/567640/2026,"Billi Markundi Khanda, (Gitty) Boulder, (Dolostone) Mining Project",SHASHI KUMAR VAISH,UTTAR PRADESH,Non-Coal,B1,Under Examination,"Diesel, Lubricants, Transportation Fuel",2026,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,"Billi Markundi Khanda, (Gitty) Boulder, (Dolostone) Mining Project is situated near village- Billi Markundi, Tehsil – Obra, District – Sonbhadra, Uttar Pradesh over an area of 1.0120 Hectares or 2.50Acres. The Lease deed was executed was allotted in favour Shri Shashi Vaishya S/o Shri Ramji Vaishya by state Government dated 30-05-2016 for a period of 10 year i.e up to 29-05-2026. Copy attached as (Annexure). The production Expansion from 20,000 cum/annum to 83,333 cum/annum within same mining le",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
20,Tier 2 - High Priority,76.7,True,83,74.0,0.75,0.7,0.8,0.7,West Bengal,IA/WB/IND1/564664/2026,INTEGRATED STEEL PLANT OF 4.5 MILLION TPA (FINISHED STEEL) WITH 680 MW CAPTIVE POWER PLANT,ORISSA ALLOY STEEL PVT. LTD.,WEST BENGAL,Industrial,A,EDS Raised,"Furnace Oil, Diesel, Lubricants",2026,Category: A Sector: Industrial Projects - 1 Date of Submission: 30/01/2026,"A Greenfield Integrated Steel Plant of capacity 4.5 Million Ton Per Annum (Finished Steel) along with 680 MW (440 MW WHRB based & 240 MW Middling and Dolochar mix based) Captive Power Plant on land measuring 938 acres at Jangal Sundari Karmanagari (JSK), Mouja – Durmut (J.L. No. 155), Layekdi (J.L. No. 153) & Nutandih (J.L. No. 157), P.S. – Raghunathpur, Dist. - Purulia, West Bengal- 723133.",Regional Manager - Kolkata,+91-9547535867,kolkata.retrm@hpcl.in,"2ND FLOOR, No-6, Church Lane, Bbd Bag, Kolkata-700001, West Bengal",Regional Manager,0.0
21,Tier 2 - High Priority,75.4,True,88,70.0,0.7,0.6666666666666667,0.6,1.0,Maharashtra,IA/MH/IND2/564994/2026,"Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses/ Sugarcane Syrup",BABANRAOJI SHINDE SUGAR & ALLIED INDUSTRIES LIMITED,MAHARASHTRA,Industrial,A,Proposal Accepted and Referred to EAC,"Furnace Oil, Diesel, Lubricants",2026,Category: A Sector: Industrial Projects - 2 Date of Submission: 29/01/2026,"Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses /Sugarcane Syrup by Babanaraoji Shinde Sugar & Allied Industries Ltd. at Turkpimpari, Tal.: Barshi, Dist.: Solapur, MS.",Retail Regional Manager - Mumbai,022-26403955,mum.retrm@hpcl.in,"3/4, Jn. of S.V. Rd and Turner Rd Bandra (West) Mumbai, Maharashtra - 400050",Retail Regional Manager,0.0
22,Tier 2 - High Priority,75.2,True,92,68.0,0.75,0.4666666666666667,0.7,1.0,Uttar Pradesh,IA/UP/INFRA1/566111/2026,"Development of High Speed Access Controlled Corridor from Shamli - Gorakhpur (Phase-I) in the state of Uttar Pradesh (Package-6, from Ch. 273+415 to Ch. 348+373).",NATIONAL HIGHWAY AUTHORITY OF INDIA,UTTAR PRADESH,INFRA-1,A,Proposal Accepted and Referred to EAC,"Bitumen, Diesel, Road Construction Materials",2026,Category: A Sector: INFRA-1 Date of Submission: 23/01/2026,"The National Highways Authority of India (NHAI) is developing a 348+184 km High-Speed Access-Controlled Greenfield Corridor from Shamli to Gorakhpur (Phase-I) in Uttar Pradesh. The alignment starts at the junction of Ambala-Shamli Expressway and Delhi-Saharanpur-Dehradun Expressway (NH-709B) near Gogwan Jalalpur village in Shamli district, Uttar Pradesh. The alignment traverses through the districts of Shamli, Muzaffarnagar, Saharanpur, Bijnor, Moradabad, Rampur, Bareilly, Pilibhit, and Shahjaha",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
23,Tier 2 - High Priority,75.2,True,92,68.0,0.75,0.4666666666666667,0.7,1.0,Uttar Pradesh,IA/UP/INFRA1/564749/2026,Development of High Speed Access Controlled Corridor from Shamli - Gorakhpur (Phase-I) in the state of Uttar Pradesh (Package 1(A) Ch 00+000Km to Ch 37+375Km),NATIONAL HIGHWAY AUTHORITY OF INDIA,UTTAR PRADESH,INFRA-1,A,Proposal Accepted and Referred to EAC,"Bitumen, Diesel, Road Construction Materials",2026,Category: A Sector: INFRA-1 Date of Submission: 23/01/2026,"NHAI is developing a 348.184 km High-Speed Access-Controlled Greenfield Corridor from Shamli to Gorakhpur (Phase-I) in Uttar Pradesh. The alignment starts at the junction of Ambala-Shamli Expressway and Delhi-Saharanpur-Dehradun Expressway (NH-709B) near Gogwan Jalalpur village in Shamli district, Uttar Pradesh. The alignment traverses through the districts of Shamli, Muzaffarnagar, Saharanpur, Bijnor, Moradabad, Rampur, Bareilly, Pilibhit, and Shahjahanpur in Uttar Pradesh, as well as Haridwar ",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
24,Tier 2 - High Priority,75.2,True,92,68.0,0.75,0.4666666666666667,0.7,1.0,Uttar Pradesh,IA/UP/INFRA1/564796/2026,Development of High Speed Access Controlled Corridor from Shamli - Gorakhpur (Phase-I) in the state of Uttar Pradesh (Package 1(B) Ch 37+375Km to Ch 86+860 Km),NATIONAL HIGHWAY AUTHORITY OF INDIA,UTTAR PRADESH,INFRA-1,A,Proposal Accepted and Referred to EAC,"Bitumen, Diesel, Road Construction Materials",2026,Category: A Sector: INFRA-1 Date of Submission: 23/01/2026,"NHAI is developing a 348+184 km High-Speed Access-Controlled Greenfield Corridor from Shamli to Gorakhpur (Phase-I) in Uttar Pradesh. The alignment starts at the junction of Ambala-Shamli Expressway and Delhi-Saharanpur-Dehradun Expressway (NH-709B) near Gogwan Jalalpur village in Shamli district, Uttar Pradesh. The alignment traverses through the districts of Shamli, Muzaffarnagar, Saharanpur, Bijnor, Moradabad, Rampur, Bareilly, Pilibhit, and Shahjahanpur in Uttar Pradesh, as well as Haridwar ",Retail Regional Manager - Lucknow,0522-2309581,lucknow.retrm@hpcl.in,"Plot No. 1, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",Retail Regional Manager,0.0
